A Aegean,,
F# Romanian hijaz mutant,"F#3 / B3, C#4, D4, F4, F#4, G#4, A4, B4, C#5, D5, F5, F#5",13
F# Romanian hijaz mutant 17,"(C#3, D3) F#3 / (G#3, A3), B3, C#4, D4, F4, F#4, G#4, A4, B4, C#5, D5, F5, F#5",17
F# Romanian hijaz mutant 20,"(C#3, D3), F#3 / (G#3, A3), B3, C#4, D4, F4, F#4, G#4, A4, B4,C#5, D5, F5, F#5, (G#5, A5, B5)",20
F# Romanian hijaz mutant custom,,
F#2 Pygmy,,
F#2 Kurd,,
F#2 Minor,,
G Akebono,,
G Oxalista,,
G Harmonic Minor,,
G2 Hijaz,,
G2 Minor Custom,,
G#2 Dark Aegean,,
